rostime,x,y,z,rot_x,rot_y,rot_z
1331830615179413080,18.5944621877,-212.814371239,932.18398122,3.11949966042,-0.0583382513153,2.92936827056
1331830615189543008,18.5883383285,-212.845183688,932.068382813,3.12265404512,-0.0611264623064,2.92967345076
1331830615199512958,18.8421547917,-213.06920994,932.020543511,3.12343888021,-0.0612317557464,2.93191840291
1331830615209532022,18.9788217454,-213.19910539,931.925847066,3.12523991935,-0.0621656100993,2.93325693956
1331830615219650983,19.1838229467,-213.200700836,931.794838216,3.12611474893,-0.0613412832163,2.93437989674
1331830615229394912,19.3426040804,-213.176172556,931.540912937,3.12691309815,-0.0612828998462,2.93526480264
1331830615239650964,19.5440415325,-213.111489279,931.281748393,3.12708656688,-0.0614275396227,2.93602869867
1331830615249582052,19.8510121088,-212.981859455,930.921365339,3.1278600206,-0.0604506967252,2.93768089469
1331830615259634017,20.1802938151,-212.845865678,930.501484047,3.12767114178,-0.0587524609163,2.93911095824
1331830615269618034,20.5375679263,-212.706467682,930.105862626,3.12743682662,-0.0568723879371,2.94161497799
1331830615279485940,20.8543075558,-212.431943549,929.767393838,3.12894933932,-0.056460089559,2.94315716456
1331830615289691925,21.2199543433,-212.237253787,929.469439649,3.12921024347,-0.055762612535,2.9452938587
1331830615299488067,21.5932982176,-212.017114639,929.258682317,3.1298097169,-0.0562399000044,2.94704584872
1331830615309535026,21.7762702623,-211.032400722,929.327265606,3.1304198999,-0.0590000669018,2.95669026023
1331830615319627046,22.1315810322,-211.711006231,928.952620065,3.12812010873,-0.056836805476,2.95043973046
1331830615329426050,22.3600403015,-211.520421624,928.798135494,3.12690973486,-0.0560255617755,2.95070933414
1331830615339440107,22.4703269542,-211.338668628,928.793202273,3.12614431285,-0.0561146504013,2.95129754558
1331830615349514007,22.4378915922,-211.266404795,928.944233138,3.1231281246,-0.0573162754064,2.95099144849
1331830615359558105,22.3888313798,-210.165053969,929.361635612,3.12431782484,-0.060890480165,2.95916800758
1331830615369980096,22.5418543008,-210.920127668,929.381135965,3.12095879067,-0.059035132521,2.95078093408
1331830615379575967,22.5919935992,-210.668346732,929.822858657,3.12046411306,-0.0613676101322,2.95209631337
1331830615389600038,22.6685496823,-210.497620074,930.325921376,3.11984954854,-0.0631519992154,2.95317294398
1331830615399513006,22.8712991352,-210.160151006,931.016538265,3.1200349691,-0.0646573074238,2.95533015828
1331830615409518957,23.1679800319,-210.002420849,931.570279673,3.1200984662,-0.0653657532404,2.9563242455
1331830615419665098,23.4083458646,-209.925954136,932.224117432,3.12185786982,-0.0659352413017,2.95749295929
1331830615429436922,23.6896334584,-209.838417544,932.734968761,3.12363224669,-0.0674369846491,2.95797645935
1331830615439601898,23.9462040094,-209.844671277,933.28595399,3.1256242395,-0.0674486116265,2.95875692235
1331830615449388027,24.1427349503,-209.791447094,933.884557027,3.12714674848,-0.0658905468815,2.95916117988
1331830615459496974,24.4716591668,-209.792254399,934.36451655,3.12935581468,-0.0662105616487,2.9591910347
1331830615469597101,24.7164378352,-209.736509047,934.836763373,3.13163663697,-0.0666224895564,2.95868325548
1331830615479479074,25.010159815,-209.741276873,935.478768517,3.13476381464,-0.0656829927056,2.95807887926
1331830615489583969,25.3310795584,-209.733477011,936.112796627,3.13629943532,-0.0654337478177,2.95720818917
1331830615499855995,25.579917547,-209.762512306,936.776861813,3.13770042946,-0.0665230715612,2.95529938465
1331830615509450912,25.8259095793,-209.830084335,937.514004579,3.13709620485,-0.0669603935143,2.95375636036
1331830615519803047,26.0713906654,-210.009505513,938.224737127,3.13656324931,-0.0676520792646,2.95222557001
1331830615529567003,26.2393311259,-210.203144662,938.824328809,3.13677423197,-0.0672754592025,2.95118184589
1331830615539423942,26.3572926644,-210.347631243,939.449090322,3.13633675618,-0.0670934858168,2.95051068431
1331830615549468994,26.5019284348,-210.412801787,940.046064317,3.13694004273,-0.0674778372507,2.95039027495
1331830615559395074,26.5659171765,-210.50403674,940.5511987,3.13779346073,-0.0682157506113,2.95083645326
1331830615570035934,26.7173143553,-210.492532763,941.095193343,3.13967697037,-0.069533981131,2.95141889946
1331830615579509019,26.8714383191,-210.593243221,941.700140242,3.13997282523,-0.0701341296256,2.95192875991
1331830615589968919,27.0711320051,-210.638070016,942.187219737,3.14084950625,-0.0717475219827,2.95246475911
1331830615599858999,27.2744133121,-210.765872184,942.594181672,3.14147724815,-0.0722766140605,2.95223928604
1331830615609456062,27.557571888,-210.64421677,943.056664698,3.13678668184,-0.0714355013768,2.95245072238
1331830615619513988,27.8214523872,-210.707768141,943.34646487,3.13385845931,-0.0708325323516,2.95220220648
1331830615629427909,27.9607055567,-209.955474962,943.803388837,3.1325490421,-0.0729587834551,2.95914337094
1331830615639616012,28.368955812,-210.619785515,943.961543131,3.12554110113,-0.0697131993324,2.9514326465
1331830615650075912,28.6595353105,-210.567398072,944.269349221,3.1214939499,-0.0687436194137,2.95055429467
