MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs,x,y,z,rot_x,rot_y,rot_z,rot_w
1311,1348766482,411104917,1348766482,404301981,-0.385342915594,-2.94028470182,0.754832865575,0.00650569068174,0.0273283192272,0.0795390080507,0.996435840963
1312,1348766482,420989990,1348766482,414372018,-0.382752100993,-2.94033995857,0.753532073445,0.00962940139273,0.0251920182863,0.0812406144458,0.996329563652
1313,1348766482,431159973,1348766482,424305274,-0.380225677885,-2.94107730325,0.75239455326,-0.000906763059756,0.0274549471841,0.0830336056385,0.996168070152
1314,1348766482,441754102,1348766482,434351799,-0.377968183634,-2.94030352777,0.751373300521,0.00437560990974,0.0258401683279,0.0843080661586,0.996095020427
1315,1348766482,451209068,1348766482,444291624,-0.375106818294,-2.940716554,0.750605873414,0.00329151927177,0.0208702842025,0.0816252755249,0.996439115819
1316,1348766482,461000919,1348766482,454351680,-0.372717066459,-2.94063651786,0.749376959057,0.00680947128012,0.0203256258788,0.0816604346904,0.996429663067
1317,1348766482,470961093,1348766482,464328131,-0.369960389233,-2.94059487901,0.748428694917,0.00758864780574,0.0204469675802,0.0819271850358,0.996399653901
1318,1348766482,481334924,1348766482,474314543,-0.36707677146,-2.94110376355,0.74732024447,0.00165192233159,0.0218023880965,0.0876232646198,0.995913696323
1319,1348766482,491823911,1348766482,484364105,-0.364526906579,-2.94067044969,0.747052057262,0.00729212280416,0.0172306846732,0.0861371320708,0.996107586021
1320,1348766482,501156091,1348766482,494350072,-0.361938761535,-2.94097722174,0.746457538243,0.00443442835763,0.0148406914978,0.081038493568,0.996590614185
1321,1348766482,510978937,1348766482,504326138,-0.35947860551,-2.94068830035,0.745985052231,0.00750902905643,0.0121386840022,0.0835519045138,0.996401197352
1322,1348766482,521100044,1348766482,514324473,-0.356726458008,-2.94075560565,0.744787345139,0.00537550414059,0.011874442287,0.0867368953985,0.996145979539
1323,1348766482,531016111,1348766482,524325511,-0.354197969991,-2.94058396232,0.744695965227,0.015395381902,0.0132443365762,0.0843986990175,0.996225089711
1324,1348766482,541524887,1348766482,534342579,-0.35146707571,-2.940873952,0.74379374269,0.00779219793054,0.0106092220238,0.0841231456723,0.996368417013
1325,1348766482,550997018,1348766482,544308579,-0.348802036649,-2.94104488014,0.743244474709,0.00748642996261,0.00650855818346,0.0837622546843,0.996436388701
1326,1348766482,561120986,1348766482,554392931,-0.346130280955,-2.94036806423,0.742947256953,0.0141668848885,0.00386467974301,0.0852152534241,0.996254347146
1327,1348766482,571049928,1348766482,564333766,-0.343300746238,-2.94099444904,0.742409006841,0.00800105465228,0.00492916946371,0.0841340483746,0.996410130577
1328,1348766482,581187009,1348766482,574292775,-0.340791707319,-2.94138586262,0.741841137695,0.00245246625268,0.00341630207557,0.084981831288,0.996373626026
1329,1348766482,591067075,1348766482,584307204,-0.33816563217,-2.94091480666,0.741492947351,0.00819768339423,0.000466662284887,0.0843097519892,0.996405763699
1330,1348766482,601092100,1348766482,594361392,-0.335317527664,-2.94073439383,0.741096334395,0.0110806624655,-0.000196885495904,0.0848123417948,0.996335308435
1331,1348766482,611154079,1348766482,604326277,-0.333220811771,-2.94082523425,0.740467439011,0.00770468864017,-0.00235423871712,0.0858689415922,0.996273868072
1332,1348766482,621012926,1348766482,614351737,-0.330561289629,-2.9407985085,0.740200953119,0.00888171732934,-0.00481185150845,0.0854761928746,0.996289005075
1333,1348766482,630971908,1348766482,624334650,-0.328243615589,-2.94065485257,0.740134171162,0.00603249332983,-0.00825178967445,0.0850707600783,0.996322479306
1334,1348766482,641266107,1348766482,634333472,-0.325921804904,-2.94048833802,0.739816560386,0.00686833139905,-0.00815823044556,0.0848756836893,0.996334475775
1335,1348766482,651197910,1348766482,644297857,-0.323586908332,-2.94122854834,0.739351830867,0.00255105509571,-0.00807966229897,0.0874806225453,0.996130188205
1336,1348766482,661179065,1348766482,654323635,-0.320803212875,-2.94166945794,0.739707558777,0.000225537989439,-0.00980998531578,0.0844063590408,0.99638309895
1337,1348766482,671040058,1348766482,664327118,-0.318490473639,-2.94109874341,0.739671419242,0.0102700234075,-0.0105622064819,0.0863070797241,0.996159653069
1338,1348766482,681073904,1348766482,674325573,-0.3161271131,-2.9410637907,0.739735568062,0.00967248247169,-0.0112650502327,0.0865538948136,0.996136519268
1339,1348766482,691466093,1348766482,684358211,-0.314052143502,-2.94104211491,0.739189940677,0.00495180471528,-0.0162159125734,0.0872093682107,0.996045706735
1340,1348766482,701282978,1348766482,694374340,-0.311840200523,-2.94149442024,0.739337387555,0.00726489529011,-0.0167311852987,0.0866532635484,0.996071533903
1341,1348766482,710952043,1348766482,704352585,-0.309687955776,-2.94126694077,0.739184510011,0.00889371121222,-0.0161641522684,0.0856740177062,0.996152390336
1342,1348766482,720930099,1348766482,714325336,-0.307592324392,-2.94114028922,0.739172838722,0.00686945803337,-0.0167440244537,0.0857744682606,0.996150183851
1343,1348766482,731030941,1348766482,724322006,-0.305504681085,-2.94084066631,0.739264043111,0.0121229986791,-0.0194519765673,0.0858282366752,0.99604626765
1344,1348766482,741780996,1348766482,734390534,-0.303719151546,-2.9414778153,0.739333531913,0.00370470244393,-0.0205983023106,0.0903299775769,0.995691960534
1345,1348766482,751214027,1348766482,744326461,-0.301481087415,-2.94151850448,0.739932982906,0.0084456198962,-0.0228789544232,0.0877630830896,0.995842791908
